,ht_l10_abs_h,ht_l10_abs_a,ht_l10_hits_h,ht_l10_hits_a,ht_l10_doubles_h,ht_l10_doubles_a,ht_l10_triples_h,ht_l10_triples_a,ht_l10_hrs_h,ht_l10_hrs_a,ht_l10_rbis_h,ht_l10_rbis_a,ht_l10_sac_hits_h,ht_l10_sac_hits_a,ht_l10_sac_flies_h,ht_l10_sac_flies_a,ht_l10_hbp_h,ht_l10_hbp_a,ht_l10_bb_h,ht_l10_bb_a,ht_l10_bbi_h,ht_l10_bbi_a,ht_l10_ko_h,ht_l10_ko_a,ht_l10_sb_h,ht_l10_sb_a,ht_l10_cs_h,ht_l10_cs_a,ht_l10_hit_into_dp_h,ht_l10_hit_into_dp_a,ht_l10_catcher_i_h,ht_l10_catcher_i_a,ht_l10_lob_h,ht_l10_lob_a,ht_l10_pitchers_h,ht_l10_pitchers_a,ht_l10_ers_h,ht_l10_ers_a,ht_l10_wp_h,ht_l10_wp_a,ht_l10_balks_h,ht_l10_balks_a,ht_l10_assists_h,ht_l10_assists_a,ht_l10_errors_h,ht_l10_errors_a,ht_l10_passed_balls_h,ht_l10_passed_balls_a,ht_l10_dp_h,ht_l10_dp_a,ht_l10_tp_h,ht_l10_tp_a,ht,ht_wins,ht_losses,at,at_wins,at_losses,home_team_won
25,0,71,0,16,0,4,0,0,0,3,0,10,0,0,0,2,0,1,0,11,0,0,0,21,0,4,0,0,0,3,0,1,0,16,0,15,0,11,0,0,0,0,0,25,0,1,0,1,0,2,0,0,ATL,1,1,PHI,1,1,True
26,0,32,0,6,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,4,0,0,0,6,0,1,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,CIN,0,1,WAS,1,0,False
27,0,65,0,10,0,2,0,0,0,2,0,2,0,1,0,0,0,0,0,2,0,0,0,16,0,0,0,0,0,1,0,0,0,12,0,8,0,0,0,1,0,0,0,17,0,0,0,0,0,3,0,0,LAN,0,2,SFN,2,0,True
28,0,93,0,17,0,6,0,0,0,4,0,9,0,0,0,0,0,4,0,13,0,3,0,30,0,1,0,0,0,2,0,1,0,24,0,12,0,5,0,0,0,0,0,32,0,3,0,1,0,3,0,0,MIA,1,1,CHN,1,1,False
29,0,33,0,6,0,1,0,0,0,2,0,4,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,6,0,8,0,2,0,0,0,9,0,1,0,0,0,3,0,0,NYN,1,0,SLN,0,1,True
30,0,79,0,21,0,6,0,0,0,1,0,10,0,1,0,1,0,1,0,3,0,0,0,13,0,2,0,1,0,4,0,0,0,12,0,11,0,7,0,0,0,0,0,26,0,2,0,0,0,3,0,0,SDN,0,2,MIL,2,0,False
31,0,40,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,11,0,2,0,0,0,1,0,0,0,8,0,5,0,3,0,2,0,0,0,9,0,0,0,0,0,1,0,0,BAL,1,0,MIN,0,1,False
32,0,39,0,14,0,3,0,0,0,6,0,14,0,0,0,0,0,1,0,7,0,0,0,7,0,0,0,0,0,1,0,0,0,6,0,5,0,6,0,2,0,0,0,11,0,1,0,0,0,0,0,0,KCA,0,1,CHA,1,0,False
33,0,78,0,19,0,2,0,1,0,4,0,6,0,0,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0,1,0,0,0,12,0,11,0,7,0,0,0,0,0,16,0,0,0,0,0,1,0,0,OAK,1,1,ANA,1,1,False
34,0,30,0,5,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,8,0,2,0,0,0,2,0,1,0,7,0,1,0,2,0,0,0,0,0,11,0,0,0,0,0,2,0,0,SEA,1,0,CLE,0,1,False
35,0,65,0,15,0,6,0,0,0,1,0,5,0,0,0,0,0,0,0,4,0,0,0,12,0,0,0,0,0,1,0,0,0,10,0,7,0,6,0,0,0,0,0,11,0,0,0,1,0,1,0,0,TBA,1,1,BOS,1,1,False
36,0,61,0,11,0,4,0,0,0,2,0,5,0,0,0,1,0,0,0,11,0,0,0,19,0,0,0,0,0,5,0,0,0,14,0,7,0,6,0,2,0,0,0,17,0,1,0,0,0,3,0,0,TEX,1,1,HOU,1,1,False
37,0,71,0,19,0,7,0,1,0,3,0,10,0,0,0,0,0,0,0,6,0,0,0,15,0,0,0,0,0,4,0,0,0,13,0,8,0,3,0,0,0,0,0,11,0,1,0,0,0,0,0,0,TOR,0,2,NYA,2,0,True
38,0,70,0,20,0,3,0,0,0,4,0,15,0,0,0,3,0,1,0,8,0,1,0,14,0,1,0,1,0,0,0,0,0,13,0,9,0,5,0,0,0,0,0,14,0,1,0,0,0,0,0,0,CIN,0,2,WAS,2,0,False
39,0,99,0,19,0,3,0,0,0,2,0,2,0,1,0,0,0,0,0,5,0,0,0,27,0,1,0,0,0,3,0,0,0,22,0,12,0,3,0,1,0,0,0,26,0,3,0,0,0,5,0,0,LAN,1,2,SFN,2,1,True
40,0,134,0,30,0,10,0,0,0,5,0,18,0,1,0,1,0,4,0,18,0,3,0,41,0,1,0,0,0,3,0,1,0,32,0,18,0,11,0,0,0,0,0,46,0,3,0,2,0,6,0,0,MIA,1,2,CHN,2,1,True
41,0,67,0,13,0,1,0,0,0,3,0,6,0,0,0,0,0,0,0,4,0,0,0,27,0,0,0,0,0,0,0,0,0,11,0,11,0,14,0,4,0,0,0,16,0,1,0,0,0,3,0,0,NYN,2,0,SLN,0,2,False
42,0,74,0,17,0,3,0,0,0,3,0,7,0,0,0,0,0,0,0,7,0,0,0,20,0,2,0,0,0,3,0,0,0,13,0,8,0,5,0,2,0,0,0,16,0,0,0,0,0,1,0,0,BAL,1,1,MIN,1,1,False
43,0,52,0,17,0,3,0,1,0,1,0,11,0,0,0,1,0,0,0,4,0,0,0,10,0,1,0,2,0,0,0,1,0,6,0,8,0,10,0,1,0,0,0,9,0,2,0,0,0,1,0,0,DET,0,1,PIT,1,0,False
44,0,80,0,23,0,6,0,1,0,1,0,12,0,0,0,1,0,1,0,7,0,0,0,14,0,1,0,3,0,2,0,1,0,10,0,12,0,10,0,1,0,0,0,21,0,2,0,0,0,4,0,0,DET,0,2,PIT,2,0,False
45,0,119,0,31,0,8,0,2,0,4,0,14,0,0,0,0,0,1,0,2,0,0,0,20,0,1,0,0,0,1,0,0,0,20,0,16,0,10,0,0,0,0,0,27,0,0,0,0,0,2,0,0,OAK,1,2,ANA,2,1,False
46,0,63,0,11,0,2,0,0,0,2,0,7,0,0,0,0,0,2,0,6,0,0,0,16,0,2,0,0,0,2,0,1,0,11,0,5,0,7,0,0,0,0,0,17,0,0,0,0,0,3,0,0,SEA,1,1,CLE,1,1,True
47,0,98,0,22,0,10,0,0,0,2,0,7,0,0,0,0,0,0,0,10,0,0,0,17,0,1,0,1,0,2,0,0,0,19,0,12,0,8,0,1,0,0,0,16,0,0,0,1,0,2,0,0,TBA,1,2,BOS,2,1,False
48,0,101,0,25,0,8,0,0,0,4,0,14,0,0,0,2,0,0,0,15,0,0,0,28,0,0,0,0,0,5,0,0,0,23,0,11,0,9,0,2,0,0,0,26,0,1,0,0,0,3,0,0,TEX,1,2,HOU,2,1,False
49,0,101,0,23,0,9,0,1,0,5,0,13,0,0,0,0,0,0,0,10,0,0,0,19,0,0,0,0,0,5,0,0,0,17,0,12,0,7,0,0,0,0,0,22,0,3,0,0,0,1,0,0,TOR,1,2,NYA,2,1,True
50,120,0,24,0,4,0,1,0,1,0,11,0,0,0,2,0,1,0,8,0,0,0,30,0,2,0,1,0,5,0,0,0,15,0,14,0,2,0,0,0,1,0,40,0,4,0,0,0,4,0,0,0,ARI,2,1,LAN,2,2,True
51,0,104,0,28,0,3,0,0,0,8,0,21,0,0,0,3,0,2,0,14,0,2,0,20,0,3,0,1,0,1,0,0,0,21,0,14,0,10,0,0,0,0,0,19,0,1,0,0,0,2,0,0,ATL,2,1,WAS,3,0,False
52,0,169,0,38,0,12,0,0,0,5,0,18,0,1,0,1,0,5,0,19,0,3,0,47,0,1,0,0,0,3,0,1,0,42,0,20,0,17,0,1,0,0,0,57,0,3,0,2,0,6,0,0,CIN,0,3,CHN,2,2,True
53,0,131,0,28,0,10,0,0,0,2,0,9,0,0,0,0,0,3,0,14,0,0,0,23,0,3,0,1,0,2,0,0,0,30,0,17,0,9,0,1,0,0,0,20,0,0,0,1,0,2,0,0,MIA,2,2,BOS,3,1,False
54,0,101,0,22,0,2,0,0,0,6,0,11,0,0,0,0,0,1,0,11,0,0,0,35,0,2,0,0,0,2,0,0,0,21,0,15,0,15,0,5,0,0,0,21,0,1,0,0,0,3,0,0,MIL,3,0,SLN,1,2,False
55,0,112,0,27,0,5,0,0,0,7,0,13,0,0,0,0,0,0,0,10,0,0,0,30,0,3,0,0,0,3,0,0,0,20,0,9,0,5,0,2,0,0,0,25,0,0,0,0,0,1,0,0,PIT,3,0,MIN,2,1,True
56,0,102,0,25,0,2,0,0,0,7,0,12,0,1,0,0,0,0,0,7,0,0,0,34,0,2,0,0,0,4,0,0,0,17,0,15,0,17,0,3,0,0,0,24,0,1,0,0,0,3,0,0,SDN,0,3,COL,1,2,False
57,0,97,0,18,0,3,0,0,0,4,0,11,0,0,0,0,0,2,0,9,0,1,0,24,0,3,0,0,0,3,0,1,0,17,0,9,0,12,0,0,0,0,0,24,0,0,0,0,0,3,0,0,ANA,3,1,CLE,1,2,False
58,67,0,15,0,3,0,1,0,1,0,9,0,0,0,1,0,2,0,7,0,0,0,7,0,1,0,0,0,1,0,0,0,13,0,13,0,18,0,0,0,0,0,17,0,0,0,1,0,2,0,0,0,DET,0,3,KCA,0,2,True
59,94,0,11,0,3,0,1,0,2,0,5,0,1,0,0,0,0,0,13,0,2,0,30,0,1,0,0,0,1,0,0,0,19,0,14,0,14,0,3,0,0,0,32,0,2,0,1,0,3,0,0,0,HOU,3,1,BAL,1,2,True
60,124,0,25,0,6,0,0,0,4,0,10,0,0,0,2,0,1,0,11,0,0,0,40,0,0,0,0,0,4,0,0,0,22,0,21,0,22,0,3,0,0,0,24,0,2,0,0,0,5,0,0,0,OAK,1,3,TEX,1,3,True
61,0,73,0,22,0,4,0,0,0,7,0,18,0,0,0,0,0,1,0,10,0,0,0,15,0,1,0,0,0,2,0,0,0,12,0,9,0,9,0,3,0,0,0,20,0,1,0,1,0,1,0,0,TOR,2,2,CHA,2,0,True
62,120,61,24,19,4,2,1,0,1,2,11,7,0,2,2,0,1,0,8,8,0,1,30,11,2,0,1,0,5,1,0,0,15,19,14,9,2,8,0,0,1,0,40,16,4,0,0,0,4,3,0,0,ARI,3,1,LAN,2,3,True
63,0,141,0,38,0,6,0,0,0,9,0,29,0,0,0,3,0,3,0,24,0,3,0,30,0,4,0,1,0,2,0,0,0,34,0,17,0,11,0,1,0,0,0,30,0,2,0,0,0,4,0,0,ATL,2,2,WAS,4,0,True
64,0,169,0,40,0,13,0,0,0,4,0,16,0,0,0,0,0,3,0,17,0,0,0,29,0,4,0,2,0,2,0,0,0,37,0,20,0,12,0,2,0,0,0,30,0,0,0,1,0,3,0,0,MIA,2,3,BOS,4,1,False
65,0,138,0,35,0,3,0,0,0,8,0,19,0,0,0,1,0,2,0,12,0,0,0,43,0,2,0,2,0,2,0,0,0,26,0,19,0,19,0,6,0,0,0,29,0,2,0,0,0,4,0,0,MIL,3,1,SLN,2,2,True
66,0,102,0,22,0,7,0,0,0,3,0,12,0,1,0,2,0,1,0,15,0,0,0,30,0,4,0,1,0,3,0,1,0,23,0,21,0,21,0,2,0,0,0,33,0,5,0,1,0,2,0,0,NYN,2,1,PHI,1,2,True
67,0,139,0,37,0,6,0,0,0,10,0,19,0,1,0,1,0,0,0,13,0,0,0,37,0,3,0,0,0,4,0,0,0,27,0,21,0,21,0,5,0,0,0,34,0,1,0,0,0,3,0,0,SDN,0,4,COL,2,2,True
68,95,0,24,0,6,0,0,0,5,0,12,0,1,0,0,0,1,0,6,0,1,0,24,0,0,0,0,0,2,0,0,0,16,0,13,0,11,0,0,0,1,0,24,0,2,0,0,0,3,0,0,0,SFN,2,2,SEA,2,1,False
69,0,131,0,25,0,4,0,0,0,7,0,16,0,0,0,0,0,2,0,15,0,1,0,32,0,4,0,0,0,3,0,1,0,24,0,14,0,12,0,0,0,0,0,32,0,0,0,1,0,3,0,0,ANA,3,2,CLE,2,2,True
70,67,30,15,5,3,1,1,1,1,0,9,1,0,0,1,1,2,0,7,2,0,0,7,4,1,0,0,1,1,0,0,0,13,5,13,4,18,6,0,0,0,0,17,9,0,1,1,0,2,0,0,0,DET,1,3,KCA,0,3,False
71,94,33,11,6,3,2,1,0,2,1,5,1,1,0,0,0,0,1,13,2,2,0,30,9,1,0,0,0,1,0,0,0,19,8,14,4,14,6,3,1,0,0,32,8,2,0,1,0,3,0,0,0,HOU,4,1,BAL,1,3,True
72,126,0,24,0,3,0,1,0,2,0,9,0,0,0,1,0,0,0,13,0,0,0,36,0,1,0,0,0,1,0,0,0,26,0,14,0,9,0,0,0,0,0,43,0,2,0,0,0,3,0,0,0,NYA,2,2,TBA,1,3,True
73,124,35,25,7,6,0,0,0,4,0,10,1,0,0,2,0,1,0,11,4,0,0,40,11,0,2,0,0,4,0,0,0,22,11,21,4,22,3,3,0,0,0,24,8,2,0,0,0,5,1,0,0,OAK,2,3,TEX,1,4,False
74,0,103,0,28,0,5,0,0,0,9,0,20,0,0,0,0,0,3,0,13,0,0,0,25,0,2,0,0,0,4,0,0,0,18,0,13,0,13,0,3,0,0,0,26,0,2,0,1,0,2,0,0,TOR,3,2,CHA,2,1,True
75,120,90,24,23,4,4,1,0,1,2,11,8,0,3,2,1,1,0,8,9,0,1,30,15,2,0,1,0,5,1,0,0,15,23,14,13,2,14,0,1,1,0,40,27,4,1,0,0,4,3,0,0,ARI,4,1,LAN,2,4,True
76,0,177,0,47,0,7,0,0,0,12,0,35,0,0,0,3,0,3,0,30,0,3,0,35,0,6,0,1,0,2,0,0,0,43,0,22,0,24,0,1,0,0,0,38,0,2,0,0,0,5,0,0,ATL,3,2,WAS,4,1,True
77,0,175,0,45,0,4,0,0,0,11,0,23,0,0,0,1,0,3,0,13,0,0,0,50,0,4,0,2,0,3,0,0,0,34,0,24,0,24,0,6,0,0,0,36,0,2,0,0,0,4,0,0,MIL,4,1,SLN,2,3,False
78,0,133,0,25,0,7,0,0,0,3,0,12,0,1,0,2,0,1,0,18,0,0,0,41,0,4,0,1,0,3,0,1,0,30,0,26,0,23,0,3,0,0,0,39,0,5,0,1,0,2,0,0,NYN,3,1,PHI,1,3,True
79,0,145,0,34,0,8,0,0,0,8,0,16,0,0,0,0,0,1,0,13,0,0,0,40,0,3,0,0,0,4,0,0,0,26,0,14,0,10,0,2,0,0,0,35,0,0,0,0,0,2,0,0,PIT,4,0,MIN,2,2,False
80,0,170,0,43,0,8,0,0,0,10,0,23,0,1,0,1,0,0,0,18,0,0,0,42,0,3,0,0,0,4,0,0,0,32,0,25,0,29,0,5,0,0,0,45,0,1,0,0,0,5,0,0,SDN,1,4,COL,2,3,False
81,95,34,24,12,6,2,0,0,5,0,12,6,1,1,0,1,1,0,6,5,1,0,24,7,0,2,0,0,2,2,0,0,16,8,13,4,11,4,0,0,1,0,24,13,2,0,0,0,3,2,0,0,SFN,2,3,SEA,3,1,True
82,0,160,0,26,0,4,0,0,0,8,0,18,0,0,0,0,0,3,0,19,0,1,0,44,0,4,0,0,0,3,0,1,0,29,0,18,0,25,0,1,0,0,0,40,0,0,0,1,0,4,0,0,ANA,4,2,CLE,2,3,True
83,94,71,11,18,3,5,1,0,2,3,5,7,1,0,0,1,0,1,13,4,2,0,30,22,1,1,0,0,1,1,0,0,19,16,14,8,14,16,3,1,0,0,32,13,2,0,1,0,3,1,0,0,HOU,5,1,BAL,1,4,True
84,126,33,24,7,3,2,1,0,2,0,9,4,0,0,1,0,0,0,13,4,0,0,36,11,1,0,0,0,1,1,0,0,26,6,14,3,9,10,0,0,0,0,43,4,2,1,0,0,3,1,0,0,NYA,3,2,TBA,1,4,True
85,124,67,25,17,6,2,0,0,4,1,10,5,0,0,2,0,1,0,11,6,0,0,40,13,0,2,0,3,4,1,0,0,22,14,21,8,22,4,3,0,0,0,24,18,2,0,0,0,5,2,0,0,OAK,2,4,TEX,2,4,True
86,0,140,0,38,0,5,0,0,0,12,0,25,0,0,0,0,0,4,0,15,0,0,0,39,0,4,0,0,0,5,0,0,0,26,0,17,0,26,0,3,0,0,0,36,0,3,0,1,0,2,0,0,TOR,4,2,CHA,2,2,False
87,0,196,0,40,0,12,0,1,0,5,0,18,0,1,0,1,0,6,0,24,0,3,0,58,0,1,0,1,0,4,0,1,0,48,0,23,0,18,0,2,0,0,0,66,0,4,0,2,0,7,0,0,MIL,4,2,CHN,2,3,False
88,242,0,57,0,9,0,1,0,2,0,22,0,1,0,0,0,5,0,29,0,1,0,56,0,2,0,2,0,7,0,0,0,57,0,32,0,28,0,0,0,0,0,72,0,3,0,0,0,6,0,0,0,PHI,1,4,MIA,2,4,True
89,133,0,31,0,6,0,1,0,4,0,12,0,1,0,1,0,2,0,13,0,0,0,40,0,1,0,0,0,3,0,0,0,32,0,18,0,21,0,0,0,0,0,39,0,0,0,0,0,2,0,0,0,PIT,4,1,CIN,1,3,True
90,0,205,0,52,0,10,0,0,0,10,0,28,0,1,0,1,0,0,0,21,0,1,0,53,0,3,0,0,0,4,0,0,0,38,0,29,0,30,0,5,0,0,0,53,0,2,0,0,0,6,0,0,SDN,1,5,COL,3,3,False
91,210,0,54,0,12,0,4,0,5,0,35,0,1,0,1,0,1,0,31,0,1,0,54,0,5,0,1,0,5,0,0,0,43,0,29,0,19,0,7,0,0,0,64,0,1,0,1,0,5,0,0,0,SLN,3,3,ARI,5,1,False
92,155,0,42,0,7,0,1,0,3,0,21,0,2,0,1,0,5,0,24,0,1,0,36,0,1,0,2,0,4,0,0,0,42,0,23,0,13,0,2,0,0,0,31,0,2,0,0,0,3,0,0,0,WAS,4,2,NYN,4,1,False
93,126,63,24,13,3,3,1,0,2,0,9,6,0,0,1,1,0,0,13,5,0,0,36,20,1,0,0,0,1,3,0,0,26,9,14,7,9,17,0,0,0,0,43,9,2,1,0,0,3,1,0,0,BOS,5,1,TBA,1,5,True
94,182,0,41,0,14,0,3,0,1,0,21,0,0,0,1,0,0,0,21,0,2,0,37,0,0,0,1,0,3,0,0,0,38,0,22,0,22,0,3,0,0,0,43,0,3,0,1,0,8,0,0,0,CHA,3,2,DET,1,4,False
95,95,68,24,22,6,4,0,0,5,0,12,7,1,1,0,1,1,0,6,9,1,0,24,12,0,2,0,0,2,4,0,0,16,18,13,7,11,14,0,2,1,0,24,22,2,1,0,0,3,2,0,0,MIN,3,2,SEA,3,2,True
96,94,106,11,26,3,6,1,0,2,3,5,8,1,0,0,1,0,1,13,8,2,0,30,32,1,2,0,0,1,2,0,0,19,26,14,11,14,18,3,2,0,0,32,21,2,1,1,0,3,1,0,0,NYA,4,2,BAL,1,5,False
97,124,96,25,21,6,2,0,0,4,2,10,7,0,0,2,0,1,1,11,7,0,0,40,17,0,2,0,3,4,3,0,0,22,16,21,11,22,7,3,1,0,0,24,27,2,1,0,0,5,3,0,0,OAK,3,4,TEX,2,5,False
98,212,0,63,0,16,0,1,0,7,0,45,0,6,0,2,0,4,0,24,0,2,0,49,0,2,0,1,0,3,0,0,0,42,0,33,0,24,0,5,0,0,0,49,0,6,0,2,0,5,0,0,0,COL,4,3,ATL,4,2,False
99,0,238,0,53,0,14,0,2,0,6,0,25,0,1,0,1,0,7,0,28,0,5,0,67,0,2,0,1,0,4,0,1,0,60,0,27,0,18,0,2,0,0,0,75,0,4,0,2,0,7,0,0,MIL,4,3,CHN,3,3,True
100,133,31,31,5,6,0,1,0,4,1,12,1,1,0,1,0,2,0,13,5,0,0,40,7,1,0,0,0,3,1,0,0,32,7,18,4,21,4,0,0,0,0,39,11,0,1,0,0,2,0,0,0,PIT,5,1,CIN,1,4,True
101,271,0,70,0,14,0,1,0,5,0,26,0,0,0,3,0,5,0,29,0,1,0,71,0,2,0,0,0,6,0,0,0,67,0,33,0,32,0,7,0,0,0,93,0,5,0,0,0,6,0,0,0,ANA,5,2,OAK,3,5,True
102,67,60,15,10,3,2,1,1,1,0,9,2,0,0,1,2,2,0,7,3,0,0,7,7,1,0,0,1,1,1,0,0,13,9,13,7,18,6,0,0,0,0,17,16,0,2,1,0,2,1,0,0,CLE,2,4,KCA,1,3,True
103,236,0,52,0,9,0,2,0,9,0,24,0,0,0,0,0,4,0,22,0,1,0,60,0,2,0,2,0,7,0,0,0,42,0,33,0,30,0,1,0,0,0,85,0,6,0,0,0,4,0,0,0,HOU,6,1,SDN,1,6,False
104,94,142,11,36,3,8,1,0,2,4,5,13,1,0,0,1,0,1,13,9,2,0,30,45,1,3,0,0,1,2,0,0,19,31,14,15,14,20,3,2,0,0,32,29,2,1,1,0,3,2,0,0,NYA,4,3,BAL,2,5,False
105,228,0,53,0,16,0,1,0,10,0,34,0,0,0,1,0,1,0,23,0,2,0,67,0,5,0,1,0,2,0,0,0,40,0,32,0,27,0,0,0,0,0,77,0,7,0,0,0,13,0,0,0,TEX,3,5,TOR,4,3,False
106,212,36,63,11,16,3,1,1,7,1,45,8,6,0,2,1,4,0,24,7,2,2,49,2,2,1,1,0,3,1,0,0,42,9,33,4,24,3,5,0,0,0,49,7,6,0,2,0,5,0,0,0,COL,4,4,ATL,5,2,True
107,0,272,0,60,0,15,0,3,0,6,0,28,0,1,0,1,0,8,0,32,0,6,0,76,0,3,0,1,0,4,0,1,0,68,0,34,0,23,0,2,0,0,0,84,0,6,0,3,0,7,0,0,MIL,5,3,CHN,3,4,False
108,242,31,57,4,9,1,1,0,2,0,22,0,1,0,0,0,5,0,29,0,1,0,56,12,2,0,2,0,7,1,0,0,57,4,32,3,28,5,0,0,0,1,72,8,3,1,0,0,6,0,0,0,PHI,2,4,MIA,2,5,True
109,133,68,31,18,6,1,1,0,4,1,12,4,1,0,1,0,2,0,13,8,0,0,40,13,1,0,0,0,3,3,0,0,32,17,18,8,21,17,0,0,0,0,39,24,0,2,0,0,2,1,0,0,PIT,6,1,CIN,1,5,False
110,120,118,24,24,4,5,1,0,1,2,11,8,0,3,2,1,1,0,8,12,0,1,30,30,2,0,1,0,5,1,0,0,15,27,14,15,2,17,0,1,1,0,40,40,4,1,0,0,4,5,0,0,SFN,3,3,LAN,2,5,True
111,210,34,54,9,12,3,4,1,5,0,35,3,1,1,1,1,1,1,31,5,1,1,54,9,5,0,1,0,5,0,0,0,43,12,29,5,19,1,7,0,0,0,64,8,1,1,1,0,5,1,0,0,SLN,3,4,ARI,6,1,True
112,155,34,42,8,7,2,1,0,3,3,21,7,2,0,1,0,5,1,24,4,1,0,36,10,1,0,2,0,4,1,0,0,42,4,23,5,13,1,2,0,0,0,31,8,2,1,0,0,3,1,0,0,WAS,4,3,NYN,5,1,False
113,271,37,70,13,14,1,1,0,5,5,26,8,0,0,3,1,5,0,29,1,1,0,71,5,2,0,0,1,6,0,0,0,67,3,33,7,32,8,7,2,0,0,93,8,5,1,0,0,6,1,0,0,ANA,6,2,OAK,3,6,False
114,126,103,24,19,3,4,1,0,2,1,9,8,0,1,1,1,0,0,13,11,0,0,36,31,1,0,0,0,1,4,0,0,26,18,14,14,9,20,0,0,0,0,43,24,2,1,0,2,3,2,0,0,BOS,6,1,TBA,1,6,True
115,182,45,41,17,14,3,3,0,1,1,21,9,0,0,1,1,0,0,21,2,2,0,37,6,0,1,1,1,3,2,0,0,38,9,22,5,22,7,3,0,0,0,43,10,3,0,1,0,8,0,0,0,CHA,3,3,DET,2,4,False
116,67,91,15,17,3,3,1,1,1,0,9,4,0,1,1,2,2,0,7,6,0,1,7,16,1,0,0,1,1,3,0,0,13,15,13,10,18,9,0,1,0,0,17,24,0,3,1,0,2,1,0,0,CLE,3,4,KCA,1,4,False
117,236,38,52,13,9,5,2,0,9,0,24,3,0,0,0,0,4,1,22,3,1,0,60,11,2,0,2,1,7,0,0,0,42,11,33,4,30,1,1,0,0,0,85,4,6,0,0,0,4,0,0,0,HOU,6,2,SDN,2,6,True
118,95,104,24,30,6,4,0,0,5,0,12,9,1,1,0,1,1,0,6,13,1,0,24,19,0,4,0,0,2,5,0,0,16,29,13,11,11,18,0,3,1,0,24,24,2,2,0,1,3,2,0,0,MIN,4,2,SEA,3,3,False
119,94,193,11,45,3,8,1,0,2,8,5,20,1,1,0,1,0,2,13,17,2,0,30,61,1,3,0,0,1,3,0,0,19,43,14,21,14,23,3,2,0,0,32,49,2,1,1,0,3,3,0,0,NYA,4,4,BAL,3,5,True
120,228,34,53,9,16,1,1,0,10,2,34,7,0,0,1,2,1,1,23,6,2,0,67,7,5,0,1,0,2,0,0,0,40,8,32,5,27,5,0,0,0,0,77,10,7,0,0,0,13,2,0,0,TEX,3,6,TOR,5,3,True
121,212,70,63,19,16,5,1,1,7,1,45,10,6,1,2,1,4,1,24,11,2,2,49,7,2,3,1,0,3,4,0,0,42,17,33,9,24,6,5,1,0,0,49,18,6,0,2,0,5,1,0,0,COL,5,4,ATL,5,3,False
122,0,305,0,68,0,16,0,4,0,7,0,33,0,2,0,1,0,8,0,39,0,7,0,85,0,3,0,2,0,5,0,1,0,77,0,39,0,25,0,3,0,0,0,90,0,6,0,3,0,7,0,0,MIL,5,4,CHN,4,4,False
123,242,63,57,9,9,2,1,0,2,0,22,0,1,0,0,0,5,0,29,1,1,0,56,22,2,0,2,0,7,1,0,0,57,9,32,9,28,25,0,0,0,1,72,12,3,1,0,0,6,1,0,0,PHI,3,4,MIA,2,6,False
124,133,102,31,29,6,3,1,0,4,2,12,11,1,2,1,1,2,1,13,13,0,0,40,23,1,1,0,0,3,4,0,0,32,26,18,12,21,21,0,0,0,0,39,34,0,3,0,0,2,1,0,0,PIT,6,2,CIN,2,5,True
125,120,171,24,36,4,6,1,0,1,3,11,12,0,3,2,1,1,0,8,21,0,2,30,40,2,0,1,0,5,3,0,0,15,42,14,25,2,24,0,1,1,0,40,51,4,1,0,0,4,6,0,0,SFN,4,3,LAN,2,6,False
126,210,65,54,14,12,5,4,1,5,0,35,6,1,2,1,1,1,1,31,12,1,1,54,21,5,0,1,0,5,1,0,0,43,21,29,8,19,6,7,0,0,0,64,14,1,1,1,0,5,1,0,0,SLN,4,4,ARI,6,2,False
127,155,68,42,16,7,5,1,0,3,3,21,10,2,0,1,0,5,1,24,9,1,2,36,20,1,1,2,0,4,2,0,0,42,13,23,11,13,2,2,0,0,0,31,16,2,2,0,0,3,1,0,0,WAS,4,4,NYN,6,1,False
128,271,68,70,20,14,2,1,1,5,6,26,15,0,0,3,1,5,1,29,11,1,0,71,13,2,1,0,1,6,3,0,0,67,11,33,11,32,11,7,3,0,0,93,16,5,1,0,0,6,2,0,0,ANA,6,3,OAK,4,6,True
129,126,135,24,25,3,6,1,0,2,1,9,11,0,1,1,1,0,0,13,11,0,0,36,40,1,0,0,0,1,5,0,0,26,20,14,19,9,30,0,0,0,0,43,30,2,1,0,2,3,2,0,0,BOS,7,1,TBA,1,7,True
130,182,78,41,23,14,5,3,0,1,1,21,15,0,0,1,1,0,4,21,10,2,0,37,15,0,5,1,1,3,2,0,0,38,21,22,10,22,8,3,1,0,0,43,17,3,1,1,0,8,1,0,0,CHA,3,4,DET,3,4,False
131,67,121,15,20,3,3,1,1,1,1,9,5,0,1,1,2,2,0,7,8,0,1,7,25,1,2,0,1,1,3,0,0,13,19,13,14,18,9,0,1,0,0,17,30,0,4,1,0,2,1,0,0,CLE,3,5,KCA,2,4,True
